id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Bazaar,Luna Mar,afrobeat,celebratory,0.82,108,0.88,0.84,0.18
12,Velvet Horizon,Arden Vale,trip hop,brooding,0.46,92,0.29,0.71,0.22
13,Copper Sky Run,The Railbirds,alt-country,wistful,0.58,124,0.51,0.63,0.67
14,Cathedral of Snow,Elio Hart,neo-classical,serene,0.21,72,0.34,0.12,0.93
15,Static Saints,Iron Avenue,post-punk,restless,0.74,132,0.37,0.59,0.11
16,Midnight Palms,Solar Reina,reggaeton,flirtatious,0.87,96,0.79,0.91,0.09
17,Paper Lanterns,Mina Sora,bossa nova,tender,0.39,118,0.68,0.57,0.81
18,Afterglow Circuit,Kite Echo,melodic techno,euphoric,0.91,126,0.73,0.76,0.05
